"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-29","1.06","78",,"70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-30","0.00","78","88","72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-31",,"76","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-01","0.00","79",,"70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-02","0.00","78","86","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-03","0.00","77","86","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-04","0.00","78","86","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-05","0.00","73","84","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-06",,"73",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-09",,"71","73",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-10",,"75","81","70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-11",,"77","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-12","0.00","81","88","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-13",,"81","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-14","0.00","78",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-15","0.00","78",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-16",,"77","84",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-17","0.00","71",,"66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-18","0.16","73","79","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-19","0.00","76","84","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-20","0.00","74",,"64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-21",,"73","84",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-22",,"71","84",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-24","0.00","73","82","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-25",,"72","84",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-26","0.00","67","81","57"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-27","0.00","69","81","55"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-28","0.00","71","82","59"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-29",,"68",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-11-30",,"72","82",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-12-01",,"71","82",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-12-02","0.00","73","82","59"
